NO,Group,MMP1,TNFAIP6,LRRC15,LAMP5,COL4A1,ACTA2,CTHRC1
1,DW,8.615887074,6.341985747,4.469234794,0.389566812,9.861676274,8.977222673,8.589726041
2,DW,11.00186556,5.371907298,5.211012193,1.678071905,9.750723732,9.741349004,8.724854875
3,DW,7.35834351,5.9210078,5.39609097,0.50589093,10.04347848,10.9385431,9.084542674
4,DW,10.25951966,5.924337464,2.117695043,0.22650853,9.261413281,7.906529877,7.009436756
5,DW,9.857063473,5.495375381,5.177917792,1.480265122,10.32261547,10.60229987,8.201633861
6,DW,7.68580002,4.590362488,5.231893162,1.35614381,9.441574774,10.39644423,8.006578546
7,DW,9.200555357,6.771753554,3.83491343,0.485426827,10.27621748,9.3675458,8.214853353
8,DW,9.922747914,6.131342539,2.912649865,0.333423734,9.649848944,8.559300604,8.102500669
9,DW,6.477677328,5.843983844,6.257199243,0.176322773,10.30828214,10.00998253,8.148273192
10,DW,3.813524689,4.972233124,5.682573297,0.855989697,10.12556845,10.10548952,8.650405564
11,S,0.275007047,3.996388746,0.23878686,0.056583528,8.342252493,6.164906927,5.943452539
12,S,0.495695163,5.203984166,4.316145742,1.632268215,5.495695163,8.121429909,7.867340524
13,S,0.422233001,3.106013238,2.801158656,1.350497247,5.264161071,8.539895483,5.980710829
14,S,0.839959587,5.869624686,6.268846063,2.805292456,6.937932839,9.815991629,9.896075027
15,S,0.50589093,2.801158656,1.3950628,0.163498732,7.52277767,7.445428759,5.9380505
16,S,0.604071324,4.133399125,4.359661722,1.169925001,7.246693102,10.5230032,8.009548727
17,S,2.451540833,5.427270935,4.809414444,1.691534165,6.414642958,9.145550093,7.180605395
18,S,0.475084883,3.185866545,1.292781749,0.344828497,7.897361452,8.181798281,5.98982022
19,S,0.757023247,2.82374936,3.94016675,0.918386234,5.450881315,8.958871668,7.595070954
20,S,0.855989697,2.918386234,4.937344392,3.902073579,5.71616783,7.930559946,9.037876361
21,S,0.464668267,3.397802962,3.40599236,1.321928095,6.460742564,9.576163082,7.135452784
