Category,Description2,Description,Count,Genes,Fold Enrichment,FDR,ONTOLOGY
1,GO:0005515,protein binding,50,"DIRAS3, ZNF331, HSP90AB1, TNFAIP6, MT1M, TNFAIP2, TNFAIP3, F13A1, CXCL1, CXCL2, MT2A, CYP26B1, ZFP36, NAMPT, REV3L, LEPR, GLUL, H3-3A, IER3, H3-3B, HSP90AA1, ARRDC3, ARID5B, SLC39A14, GEM, IRF1, PLPP3, CD44, BIRC3, CEBPB, CEBPD, APCDD1, PTGS2, THBS1, ZFP36L2, HSPD1, ZFP36L1, HSPH1, WIF1, HAS2, WTAP, GADD45A, SOD2, PNRC1, NFKBIA, NR4A2, NR4A1, ID2, ID1, CD9",1.406355003652301,9.237226690316537E-6,Human
2,GO:0005518,collagen binding,6,"PCOLCE2, LUM, ABI3BP, CTSK, AEBP1, DCN",48.516634050880626,1.2125734816711478E-5,Rat
3,GO:0006954,inflammatory response.,10,"NR4A1, CYP26B1, CEBPB, TNFAIP6, NAMPT, TNFAIP3, CXCL1, THBS1, CXCL2, CD44",9.017592592592592,4.87227610865234E-4,Human
4,GO:0006954,inflammatory response,9,"C3, C4B, CYP26B1, CCL8, CCL11, CCL7, IL1R2, RARRES2, CCL19",13.076185819070904,1.0410978389529048E-4,Rat
5,GO:0006986,response to unfolded protein,5,"HSP90AA1, HSPH1, HSP90AB1, THBS1, HSPD1",29.966153846153848,0.003799323985069943,Human
6,GO:0008009,chemokine activity,4,"CCL8, CCL11, CCL7, CCL19",46.296918767507,0.002435200509972845,Rat
7,GO:0008201,heparin binding,6,"CCL8, CCL7, PCOLCE2, GPNMB, ABI3BP, APOE",19.786113328012767,5.123686537326345E-4,Rat
8,GO:0030335,positive regulation of cell migration,6,"CCL8, CCL11, CCL7, TNFAIP6, GPNMB, CCL19",13.303880597014924,0.008299870020612273,Rat
9,GO:0031012,extracellular matrix,8,"LGALS3, EFEMP1, LUM, ABI3BP, RARRES2, APOE, LTBP1, DCN",18.50396887159533,5.037146692155537E-6,Rat
10,GO:0032991,protein-containing complex,11,"NR4A2, HSP90AA1, HSPH1, HSP90AB1, ID2, CD9, PTGS2, H3-3A, HSPD1, BIRC3, H3-3B",6.62069464544139,4.343903450532341E-4,Human
11,GO:0042824,MHC class I peptide loading complex,3,"H2-K1, B2M, H2-D1",118.888,0.004412183062261808,Rat
12,GO:0044344,cellular response to FGF,5,"NR4A1, ZFP36, CD44, ZFP36L2, ZFP36L1",59.02424242424243,4.87227610865234E-4,Human
13,GO:0045600,regulation of cell differentiation,5,"ZFP36, CEBPB, WIF1, ID2, ZFP36L1",34.78214285714286,0.002794201337658719,Human
14,GO:0048018,receptor ligand activity,7,"GREM1, C3, CCL11, GPNMB, APOE, GAS6, NBL1",36.24561403508772,6.0886837692863096E-6,Rat
15,GO:0048245,eosinophil chemotaxis,5,"LGALS3, CCL8, CCL11, CCL7, CCL19",148.56,1.9475225772863288E-5,Rat
16,GO:0062023,collagen-containing extracellular matrix,11,"MFAP4, LGALS3, EFEMP1, PCOLCE2, CILP, LUM, ABI3BP, RARRES2, SERPING1, LTBP1, DCN",19.754803625377644,4.586098926063179E-9,Rat
17,hsa04064,NF-kappa B signaling pathway,7,"NFKBIA, GADD45A, TNFAIP3, CXCL1, PTGS2, CXCL2, BIRC3",14.971929824561403,2.5289728117670245E-4,Human
18,hsa04621,NOD-like receptor signaling pathway,8,"NFKBIA, HSP90AA1, HSP90AB1, NAMPT, TNFAIP3, CXCL1, CXCL2, BIRC3",9.505987190197716,5.074434011832703E-4,Human
19,hsa04657,IL-17 signaling pathway,8,"NFKBIA, HSP90AA1, CEBPB, HSP90AB1, TNFAIP3, CXCL1, PTGS2, CXCL2",18.911911357340717,1.9660402466902532E-5,Human
20,hsa04668,TNF signaling pathway,8,"NFKBIA, CEBPB, IRF1, TNFAIP3, CXCL1, PTGS2, CXCL2, BIRC3",15.097744360902254,4.626070810386509E-5,Human
