Category,Description,Count,Genes,Fold Enrichment,p.adjust,ONTOLOGY
1,extracellular region,52,"ELN, ADM, CLU, CHRDL1, CTSK, TIMP3, SVEP1, CD34, IGFBP5, GPX3, SERPINF1, MMP2, OMD, PDGFRL, DCN, TGFBR3, SFRP1, CCDC80, LOX, SLPI, SELENOP, MFGE8, GAS6, MATN4, CFD, ITIH5, TNXB, SEMA3C, PCOLCE2, C1R, SEMA3B, FGL2, FBLN1, PRELP, FBLN2, CST3, PLAC9, CLEC3B, FAM180B, IGFBP6, PLTP, CD55, S100A10, GSN, F10, PLA2G2A, PODN, MFAP5, MFAP4, SMOC2, QPCT, PI16",5.632595231770142,1.4396610929578048E-28,CC
2,extracellular space,45,"CFD, TNXB, SEMA3C, C1R, FGL2, ADM, FBLN1, PRELP, CXCL14, CLU, CST3, PCSK1N, CLEC3B, FCGRT, CTSK, TIMP3, SVEP1, SLIT3, CKB, IGFBP6, PLTP, S100A10, GSN, IGFBP5, F10, GPX3, MMP2, SERPINF1, PLA2G2A, OMD, PODN, DCN, VASN, TGFBR3, MFAP4, SMOC2, SFRP1, LOX, SLPI, CILP, PI16, MFGE8, GAS6, ANGPTL1, NUCB2",6.038777498854549,5.664063724697848E-25,CC
3,collagen-containing extracellular matrix,26,"ITIH5, TNXB, ELN, FGL2, SEMA3B, FBLN1, PRELP, FBLN2, CLU, CLEC3B, TIMP3, S100A10, MMP2, SERPINF1, PODN, DCN, MFAP5, MFAP4, SFRP1, LOX, SLPI, CILP, MGP, MFGE8, MATN4, ANGPTL1",16.83229040191775,7.060861801665991E-24,CC
4,extracellular exosome,35,"CFD, TNXB, SEMA3C, C1R, FGL2, ADIRF, FBLN1, PRELP, CLU, CST3, CLEC3B, CKB, CD55, S100A10, GSN, GPX3, SERPINF1, PLA2G2A, OMD, CYBRD1, VASN, TGFBR3, SFRP1, GPRC5A, SLPI, DDAH2, CILP, QPCT, SELENOP, MGP, MFGE8, GAS6, CRYAB, ANGPTL1, NUCB2",3.911229216598777,7.1849008598602E-13,CC
5,extracellular matrix,11,"TNXB, LOX, ELN, MMP2, MGP, OMD, TIMP3, FBLN1, PRELP, FBLN2, VASN",12.358582311308012,1.7925477817660336E-8,CC
6,elastic fiber,3,"MFAP4, ELN, FBLN1",150.32530120481928,1.5242518078769827E-4,CC
7,basement membrane,5,"SMOC2, CCDC80, SERPINF1, TIMP3, FBLN1",12.914544777046329,5.889537096051068E-4,CC
8,Golgi lumen,5,"F10, OMD, PRELP, GAS6, DCN",11.492760030949487,9.124343645712824E-4,CC
9,platelet dense granule lumen,3,"CLEC3B, SELENOP, TIMP3",53.68760757314974,0.001355438484467454,CC
10,ficolin-1-rich granule lumen,5,"CFD, CST3, GSN, QPCT, FGL2",9.942149550583286,0.0015606535120317197,CC
11,negative regulation of gene expression,8,"SFRP1, CILP, SERPINF1, MYADM, SLIT3, KLF4, CRYAB, CD34",6.205655117483073,2.843431617587604E-4,BP
12,negative regulation of cell population proliferation,9,"SFRP1, GPNMB, ACKR3, ADM, SLIT3, IGFBP6, NUPR1, KLF4, PODN",4.998203746471645,4.0024931875311975E-4,BP
13,extracellular matrix organization,6,"SMOC2, CCDC80, MMP2, FBLN1, MATN4, FBLN2",8.797651309846431,5.752512588266769E-4,BP
14,negative regulation of vasoconstriction,3,"MMP2, SVEP1, ADM",80.15637860082305,5.886168889562356E-4,BP
15,elastic fiber assembly,3,"MFAP4, TNXB, LOX",65.58249158249158,8.944908317000467E-4,BP
16,immune response,9,"TGFBR3, CST3, SEMA3C, SLPI, FCGRT, C1R, CTSK, ACKR3, CXCL14",4.03020897992965,0.0016113682141018592,BP
17,negative regulation of cell growth,4,"SFRP1, FHL1, SLIT3, CRYAB",8.015637860082304,0.013281269559792492,BP
18,negative regulation of epithelial cell proliferation,3,"TGFBR3, SFRP1, NUPR1",12.656270305393113,0.02297956337885011,BP
19,negative regulation of G1/S transition,3,"GPNMB, FHL1, KLF4",12.438058748403575,0.023737773805178254,BP
20,negative regulation of fibroblast apoptotic process,2,"SFRP1, GAS6",60.117283950617285,0.032394846884032207,BP
21,extracellular matrix structural constituent,11,"MFAP5, MFAP4, TNXB, CILP, ELN, MGP, FGL2, FBLN1, PRELP, MFGE8, FBLN2",21.60830527497194,7.49334308309858E-11,MF
22,heparin binding,10,"TGFBR3, SMOC2, CLEC3B, SFRP1, TNXB, CCDC80, PCOLCE2, GPNMB, SLIT3, PRELP",13.278846817021861,5.581180460601324E-8,MF
23,fibronectin binding,6,"CCDC80, IGFBP5, MMP2, CTSK, FBLN1, IGFBP6",47.538271604938274,1.4334790668959797E-7,MF
24,calcium ion binding,15,"GSN, F10, C1R, PLA2G2A, FBLN1, FBLN2, SMOC2, CLEC3B, MGP, SVEP1, SLIT3, GAS6, MATN4, NUCB2, S100A10",4.824587781286022,1.918042941487304E-6,MF
25,collagen binding,5,"TNXB, PCOLCE2, LOX, CTSK, PODN",16.97795414462081,2.057563660108716E-4,MF
26,extracellular matrix binding,4,"SMOC2, ELN, FBLN2, DCN",30.66985264834727,2.855338309790686E-4,MF
27,integrin binding,6,"TNXB, GPNMB, FBLN1, SVEP1, MFGE8, PLPP3",8.913425925925926,5.417772553696588E-4,MF
28,serine-type endopeptidase inhibitor activity,5,"ITIH5, PCSK1N, PCOLCE2, SLPI, SERPINF1",10.80415263748597,0.001142702621571377,MF
29,endopeptidase inhibitor activity,3,"CST3, PCSK1N, SLPI",16.206228956228955,0.014408006675214186,MF
30,peptidase inhibitor activity,2,"CST3, PI16",23.769135802469137,0.07994172922122976,MF
,Cytoskeleton in muscle cells,5,"CFD, F10, C1R, CLU, CD55",11.82649667405765,7.267400735038893E-4,KEGG
